timestamp	step	accuracy
1653685237068	0	0.7359216213226318
1653685244212	1	0.764961838722229
1653685251253	2	0.8007224798202515
1653685258894	3	0.8230275511741638
1653685265723	4	0.8349597454071045
1653685273009	5	0.8434004187583923
1653685280276	6	0.8504152297973633
1653685287429	7	0.8562902808189392
1653685294693	8	0.8614894151687622
1653685301972	9	0.8659449219703674
1653685309147	10	0.8697054982185364
1653685316396	11	0.8730148077011108
1653685323574	12	0.8761546611785889
1653685331569	13	0.8794152736663818
1653685338752	14	0.8821228742599487
1653685345820	15	0.8843029737472534
